,Unnamed:_0,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open_Int,Delta,Gamma,Rho,Theta,Vega,Implied_volatility,currentDate,Underlaying_asset_price,Expiration_Date,compute_iv
645,5711,3-Mar-17,34.5,FSLR,Call,1.75,0.11,1.65,1.83,31.0,437.0,0.5346,0.10496,0.006379999999999999,-0.07225,0.02607,0.57568,2/17/2017,34.84,0.038329911,0.5740670078727114
646,5718,10-Mar-17,35.0,FSLR,Call,1.68,0.12,1.58,1.79,16.0,57.0,0.49539,0.09469,0.00886,-0.0517,0.03227,0.5152100000000001,2/17/2017,34.84,0.05749486700000001,0.5184988147671159
647,5737,10-Mar-17,32.0,FSLR,Put,0.7,-0.1,0.66,0.88,30.0,20.0,-0.25305,0.07207000000000001,-0.00449,-0.04059,0.03043,0.5596800000000001,2/17/2017,34.84,0.05749486700000001,0.560127796704038
648,5755,15-Sep-17,32.5,FSLR,Call,5.57,0.17,5.55,6.1,2.0,51.0,0.67045,0.03537,0.10041,-0.01311,0.09401,0.39477,2/17/2017,34.84,0.574948665,0.3931955864038236
649,5756,15-Sep-17,35.0,FSLR,Call,4.65,0.31,4.5,4.75,8.0,40.0,0.58294,0.03682,0.08924,-0.014819999999999996,0.09965,0.42164,2/17/2017,34.84,0.574948665,0.42457507758709373
650,5759,19-Jan-18,37.5,FSLR,Put,7.6,-1.51,7.4,7.8,1.0,262.0,-0.45337,0.0261,-0.14736,-0.00856,0.12935,0.49496,2/17/2017,34.84,0.919917864,0.4994277434198862
651,5763,15-Sep-17,7.5,SVVC,Call,1.05,-0.15,1.0,1.2,10.0,24.0,0.67619,0.19384,0.02455,-0.00252,0.02151,0.25474,2/17/2017,8.14,0.574948665,0.2510884412321482
652,5766,17-Mar-17,120.0,FISV,Call,0.06,0.01,0.05,0.1,138.0,272.0,0.02155,0.0,0.00185,-0.00471,0.01652,0.13722,2/17/2017,111.980003,0.076659822,0.13362238007469857
653,5772,15-Sep-17,115.0,FISV,Call,4.9,0.9,4.8,5.1,4.0,60.0,0.5038699999999999,0.030410000000000006,0.2967,-0.02226,0.34101,0.16021,2/17/2017,111.980003,0.574948665,0.15907169006693034
654,5775,15-Sep-17,105.0,FISV,Put,3.4,-0.1,3.2,3.5,4.0,191.0,-0.28773000000000004,0.02073,-0.16092,-0.01179,0.29294000000000003,0.21145,2/17/2017,111.980003,0.574948665,0.21298863400025808
655,5809,19-Jan-18,15.0,FLEX,Put,0.86,0.01,0.79,0.89,15.0,124.0,-1.0,0.04654,0.0,0.0,0.0,0.27286,2/17/2017,16.440001000000002,0.919917864,0.27382400101869475
656,5823,17-Mar-17,37.0,FTNT,Call,1.31,0.11,1.25,1.45,50.0,368.0,0.94642,0.10559,0.0265,-0.00772,0.00956,0.24997,2/17/2017,37.459999,0.076659822,0.2469807694563732
