,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,Implied volatility,currentDate,Underlaying asset price,Expiration Date
2234,19-May-17,145.0,AAPL,Put,11.55,-0.3,11.25,11.45,84.0,1334.0,-0.6825899999999999,0.02516,-0.15984,-0.0276,0.26065,0.24997,2/17/2017,135.720001,0.325804244
2235,19-May-17,145.0,AAPL,Put,11.55,-0.3,11.25,11.45,84.0,1334.0,-0.6825899999999999,0.02516,-0.15984,-0.0276,0.26065,0.24997,2/17/2017,135.720001,0.421629021
2236,16-Jun-17,145.0,AAPL,Put,12.0,-0.3,11.8,11.95,70.0,1325.0,-0.67918,0.02583,-0.1842,-0.01957,0.29645,0.24997,2/17/2017,135.720001,0.019164956
2237,16-Jun-17,145.0,AAPL,Put,12.0,-0.3,11.8,11.95,70.0,1325.0,-0.67918,0.02583,-0.1842,-0.01957,0.29645,0.24997,2/17/2017,135.720001,0.249144422
2238,16-Jun-17,145.0,AAPL,Put,12.0,-0.3,11.8,11.95,70.0,1325.0,-0.67918,0.02583,-0.1842,-0.01957,0.29645,0.24997,2/17/2017,135.720001,0.325804244
2239,16-Jun-17,145.0,AAPL,Put,12.0,-0.3,11.8,11.95,70.0,1325.0,-0.67918,0.02583,-0.1842,-0.01957,0.29645,0.24997,2/17/2017,135.720001,0.421629021
2240,21-Jul-17,145.0,AAPL,Put,12.75,-0.15,12.45,12.6,14.0,636.0,-0.61846,0.02068,-0.257,-0.02093,0.35525,0.24997,2/17/2017,135.720001,0.019164956
2241,21-Jul-17,145.0,AAPL,Put,12.75,-0.15,12.45,12.6,14.0,636.0,-0.61846,0.02068,-0.257,-0.02093,0.35525,0.24997,2/17/2017,135.720001,0.249144422
2242,21-Jul-17,145.0,AAPL,Put,12.75,-0.15,12.45,12.6,14.0,636.0,-0.61846,0.02068,-0.257,-0.02093,0.35525,0.24997,2/17/2017,135.720001,0.325804244
2243,21-Jul-17,145.0,AAPL,Put,12.75,-0.15,12.45,12.6,14.0,636.0,-0.61846,0.02068,-0.257,-0.02093,0.35525,0.24997,2/17/2017,135.720001,0.421629021
2244,24-Feb-17,147.0,AAPL,Call,0.02,-0.01,0.01,0.03,200.0,109.0,0.01549,0.0,0.0004,-0.01634,0.00569,0.27755,2/17/2017,135.720001,0.019164956
2245,24-Feb-17,148.0,AAPL,Call,0.01,-0.02,0.01,0.02,3.0,587.0,0.01218,0.0,0.00031,-0.01339,0.00572,0.27544,2/17/2017,135.720001,0.019164956
2246,24-Feb-17,123.0,AAPL,Put,0.02,-0.02,0.01,0.03,220.0,1566.0,-0.01128,0.00477,-0.00029,-0.014180000000000003,0.00473,0.33021,2/17/2017,135.720001,0.019164956
2247,24-Feb-17,124.0,AAPL,Put,0.03,-0.03,0.02,0.03,325.0,1987.0,-0.01233,0.00555,-0.00032,-0.014430000000000004,0.00474,0.30884,2/17/2017,135.720001,0.019164956
2248,24-Feb-17,125.0,AAPL,Put,0.02,-0.03,0.02,0.03,179.0,1120.0,-0.01267,0.006220000000000001,-0.00033,-0.01354,0.00475,0.28301,2/17/2017,135.720001,0.019164956
2249,24-Feb-17,126.0,AAPL,Put,0.03,-0.03,0.02,0.03,683.0,1335.0,-0.01652,0.00826,-0.00043,-0.01703,0.01011,0.27541,2/17/2017,135.720001,0.019164956
2250,24-Feb-17,127.0,AAPL,Put,0.04,-0.03,0.03,0.04,1235.0,1361.0,-0.0173,0.00952,-0.00043,-0.01614,0.0169,0.24997,2/17/2017,135.720001,0.019164956
2251,24-Feb-17,128.0,AAPL,Put,0.04,-0.04,0.03,0.05,547.0,1945.0,-0.016890000000000002,0.01064,-0.00043,-0.01376,0.01502,0.21872,2/17/2017,135.720001,0.019164956
2252,24-Feb-17,129.0,AAPL,Put,0.06,-0.05,0.04,0.06,672.0,2825.0,-0.02637,0.01627,-0.00063,-0.01768,0.01909,0.20325,2/17/2017,135.720001,0.019164956
2253,24-Feb-17,130.0,AAPL,Put,0.06,-0.09,0.06,0.07,3402.0,3710.0,-0.04722,0.02756,-0.00117,-0.0271,0.01924,0.19177,2/17/2017,135.720001,0.019164956
2254,24-Feb-17,131.0,AAPL,Put,0.1,-0.11,0.09,0.1,1241.0,2638.0,-0.07301,0.04173,-0.00184,-0.03865,0.01955,0.20472,2/17/2017,135.720001,0.019164956
2255,24-Feb-17,132.0,AAPL,Put,0.14,-0.18,0.14,0.16,6271.0,2605.0,-0.09701,0.05847,-0.0022,-0.04145,0.04557,0.15239,2/17/2017,135.720001,0.019164956
2256,24-Feb-17,133.0,AAPL,Put,0.25,-0.24,0.23,0.26,3356.0,4260.0,-0.18034,0.08807999999999999,-0.004370000000000001,-0.06248,0.046380000000000005,0.13923,2/17/2017,135.720001,0.019164956
2257,24-Feb-17,134.0,AAPL,Put,0.43,-0.32,0.41,0.45,2967.0,4171.0,-0.25443000000000005,0.12321,-0.00546,-0.07069,0.07044,0.13928,2/17/2017,135.720001,0.019164956
2258,24-Feb-17,135.0,AAPL,Put,0.73,-0.42,0.69,0.75,8156.0,6576.0,-0.39956,0.13347,-0.00913,-0.08804,0.07195,0.12969,2/17/2017,135.720001,0.019164956
2259,24-Feb-17,136.0,AAPL,Put,1.19,-0.5,1.15,1.22,2493.0,1681.0,-0.53354,0.14887999999999998,-0.0106,-0.08447,0.07316,0.12862,2/17/2017,135.720001,0.019164956
2260,24-Feb-17,137.0,AAPL,Put,1.85,-0.46,1.76,1.9,552.0,1273.0,-0.67406,0.13646,-0.01369,-0.07275,0.07408,0.13699,2/17/2017,135.720001,0.019164956
2261,24-Feb-17,138.0,AAPL,Put,2.8,-0.25,2.52,2.72,249.0,332.0,-0.80225,0.11364,-0.0132,-0.05,0.04994,0.12988,2/17/2017,135.720001,0.019164956
2262,24-Feb-17,139.0,AAPL,Put,3.64,-0.31,3.35,3.65,5.0,99.0,-0.87029,0.08194,-0.01267,-0.041010000000000005,0.04737,0.12759,2/17/2017,135.720001,0.019164956
2263,24-Feb-17,140.0,AAPL,Put,4.58,-0.17,4.25,4.55,11.0,15.0,-0.93039,0.055310000000000005,-0.00784,-0.02338,0.02123,0.1325,2/17/2017,135.720001,0.019164956
2264,24-Feb-17,141.0,AAPL,Put,5.62,-0.71,5.25,5.6,25.0,5.0,-0.9306,0.04422,-0.01067,-0.03029,0.02112,0.1325,2/17/2017,135.720001,0.019164956
2265,24-Feb-17,145.0,AAPL,Put,9.55,0.05,9.2,9.45,5.0,15.0,-1.0,0.0,0.0,0.0,0.0,0.1325,2/17/2017,135.720001,0.019164956
2266,24-Feb-17,145.0,AAPL,Put,9.55,0.05,9.2,9.45,5.0,15.0,-1.0,0.0,0.0,0.0,0.0,0.1325,2/17/2017,135.720001,0.076659822
2267,17-Mar-17,145.0,AAPL,Put,9.7,-0.2,9.35,9.6,153.0,140.0,-0.928,0.02955,-0.0311,-0.01365,0.06537000000000001,0.1325,2/17/2017,135.720001,0.019164956
2268,17-Mar-17,145.0,AAPL,Put,9.7,-0.2,9.35,9.6,153.0,140.0,-0.928,0.02955,-0.0311,-0.01365,0.06537000000000001,0.1325,2/17/2017,135.720001,0.076659822
2269,3-Mar-17,125.0,AAPL,Call,10.44,0.07,10.6,10.95,61.0,487.0,1.0,0.0,0.04767,-0.0191,0.0,0.10392,2/17/2017,135.720001,0.038329911
